year,region,farmer,farmer_gender,fertilizer_treatment,code,mission_number,date_surveyed,ose_count,temperature,percent_ground_cover,ose_damage_percent,yield_date_havested,rendement_en_kg_ha
2021,Kaffrine,02.64,M,fertilized,02-64-01,1,July 27th to august 3th,23,26,20,4,October 20th to 31th,540
2021,Kaffrine,02.64,M,fertilized,02-64-01,2,August 30th toseptember 4th,16,30,20,0,October 20th to 31th,540
2021,Kaffrine,02.64,M,fertilized,02-64-01,3,September 28th to october 5th,14,26,70,0,October 20th to 31th,540
2021,Kaffrine,02.65,M,control,02-65-00,1,July 27th to august 3th,21,28,40,3,October 20th to 31th,NA
2021,Kaffrine,02.65,M,control,02-65-00,2,August 30th toseptember 4th,14,29,40,0,October 20th to 31th,NA
2021,Kaffrine,02.65,M,control,02-65-00,3,September 28th to october 5th,43,27,80,0,October 20th to 31th,NA
2021,Kaffrine,02.65,M,fertilized,02-65-01,1,July 27th to august 3th,22,28,40,2,October 20th to 31th,NA
2021,Kaffrine,02.65,M,fertilized,02-65-01,2,August 30th toseptember 4th,14,28,40,0,October 20th to 31th,NA
2021,Kaffrine,02.65,M,fertilized,02-65-01,3,September 28th to october 5th,8,27,60,0,October 20th to 31th,NA
2021,Kaffrine,02.66,M,control,02-66-00,1,July 27th to august 3th,81,29,30,7,October 20th to 31th,640
2021,Kaffrine,02.66,M,control,02-66-00,2,August 30th toseptember 4th,34,29,30,7,October 20th to 31th,640
2021,Kaffrine,02.66,M,control,02-66-00,3,September 28th to october 5th,39,31,50,0,October 20th to 31th,640
2021,Kaffrine,02.66,M,fertilized,02-66-01,1,July 27th to august 3th,108,30,30,17,October 20th to 31th,800
2021,Kaffrine,02.66,M,fertilized,02-66-01,2,August 30th toseptember 4th,62,30,30,17,October 20th to 31th,800
2021,Kaffrine,02.66,M,fertilized,02-66-01,3,September 28th to october 5th,28,32,70,0,October 20th to 31th,800
2021,Kaffrine,02.67,M,control,02-67-00,1,July 27th to august 3th,75,28,30,12,October 20th to 31th,540
2021,Kaffrine,02.67,M,control,02-67-00,2,August 30th toseptember 4th,30,28,30,10,October 20th to 31th,540
2021,Kaffrine,02.67,M,control,02-67-00,3,September 28th to october 5th,54,30,90,0,October 20th to 31th,540
2021,Kaffrine,02.67,M,fertilized,02-67-01,1,July 27th to august 3th,22,27,30,1,October 20th to 31th,1260
2021,Kaffrine,02.67,M,fertilized,02-67-01,2,August 30th toseptember 4th,14,27,30,1,October 20th to 31th,1260
2021,Kaffrine,02.67,M,fertilized,02-67-01,3,September 28th to october 5th,9,29,70,0,October 20th to 31th,1260
2021,Kaffrine,02.68,M,control,02-68-00,1,July 27th to august 3th,78,28,40,4,October 20th to 31th,510
2021,Kaffrine,02.68,M,control,02-68-00,2,August 30th toseptember 4th,42,28,40,5,October 20th to 31th,510
2021,Kaffrine,02.68,M,control,02-68-00,3,September 28th to october 5th,45,26,80,5,October 20th to 31th,510
2021,Kaffrine,02.68,M,fertilized,02-68-01,1,July 27th to august 3th,56,29,50,2,October 20th to 31th,935
2021,Kaffrine,02.68,M,fertilized,02-68-01,2,August 30th toseptember 4th,30,29,50,4,October 20th to 31th,935
2021,Kaffrine,02.68,M,fertilized,02-68-01,3,September 28th to october 5th,4,25,65,0,October 20th to 31th,935
2021,Kaffrine,02.69,M,control,02-69-00,1,July 27th to august 3th,44,29,35,2,October 20th to 31th,895
2021,Kaffrine,02.69,M,control,02-69-00,2,August 30th toseptember 4th,28,29,35,0,October 20th to 31th,895
2021,Kaffrine,02.69,M,control,02-69-00,3,September 28th to october 5th,39,31,90,0,October 20th to 31th,895
2021,Kaffrine,02.69,M,fertilized,02-69-01,1,July 27th to august 3th,86,30,25,3,October 20th to 31th,1020
2021,Kaffrine,02.69,M,fertilized,02-69-01,2,August 30th toseptember 4th,45,30,25,8,October 20th to 31th,1020
2021,Kaffrine,02.69,M,fertilized,02-69-01,3,September 28th to october 5th,13,32,70,5,October 20th to 31th,1020
2021,Kaffrine,02.70,M,control,02-70-00,1,July 27th to august 3th,77,33,30,8,October 20th to 31th,NA
2021,Kaffrine,02.70,M,control,02-70-00,2,August 30th toseptember 4th,42,33,30,8,October 20th to 31th,NA
2021,Kaffrine,02.70,M,control,02-70-00,3,September 28th to october 5th,59,33,65,0,October 20th to 31th,NA
2021,Kaffrine,02.70,M,fertilized,02-70-01,1,July 27th to august 3th,100,33,30,14,October 20th to 31th,NA
2021,Kaffrine,02.70,M,fertilized,02-70-01,2,August 30th toseptember 4th,60,33,30,17,October 20th to 31th,NA
2021,Kaffrine,02.70,M,fertilized,02-70-01,3,September 28th to october 5th,11,32,80,3,October 20th to 31th,NA
2021,Kaffrine,02.71,M,control,02-71-00,1,July 27th to august 3th,14,32,20,1,October 20th to 31th,450
2021,Kaffrine,02.71,M,control,02-71-00,2,August 30th toseptember 4th,8,32,20,0,October 20th to 31th,450
2021,Kaffrine,02.71,M,control,02-71-00,3,September 28th to october 5th,35,27,60,0,October 20th to 31th,450
2021,Kaffrine,02.71,M,fertilized,02-71-01,1,July 27th to august 3th,18,27,20,1,October 20th to 31th,900
2021,Kaffrine,02.71,M,fertilized,02-71-01,2,August 30th toseptember 4th,12,27,20,0,October 20th to 31th,900
2021,Kaffrine,02.71,M,fertilized,02-71-01,3,September 28th to october 5th,7,26,70,0,October 20th to 31th,900
2021,Kaffrine,02.72,M,control,02-72-00,1,July 27th to august 3th,65,32,30,2,October 20th to 31th,80
2021,Kaffrine,02.72,M,control,02-72-00,2,August 30th toseptember 4th,41,32,30,8,October 20th to 31th,80
2021,Kaffrine,02.72,M,control,02-72-00,3,September 28th to october 5th,37,33,70,0,October 20th to 31th,80
2021,Kaffrine,02.72,M,fertilized,02-72-01,1,July 27th to august 3th,47,32,30,2,October 20th to 31th,1120
2021,Kaffrine,02.72,M,fertilized,02-72-01,2,August 30th toseptember 4th,32,32,30,0,October 20th to 31th,1120
2021,Kaffrine,02.72,M,fertilized,02-72-01,3,September 28th to october 5th,20,32,60,0,October 20th to 31th,1120
2021,Kaffrine,02.73,M,control,02-73-00,1,July 27th to august 3th,85,25,90,5,October 20th to 31th,546
2021,Kaffrine,02.73,M,control,02-73-00,2,August 30th toseptember 4th,40,32,70,5,October 20th to 31th,546
2021,Kaffrine,02.73,M,control,02-73-00,3,September 28th to october 5th,43,33,70,0,October 20th to 31th,546
2021,Kaffrine,02.73,M,fertilized,02-73-01,1,July 27th to august 3th,58,25,85,3,October 20th to 31th,1092
2021,Kaffrine,02.73,M,fertilized,02-73-01,2,August 30th toseptember 4th,23,32,75,0,October 20th to 31th,1092
2021,Kaffrine,02.73,M,fertilized,02-73-01,3,September 28th to october 5th,13,33,75,0,October 20th to 31th,1092
2021,Kaffrine,02.74,M,control,02-74-00,1,July 27th to august 3th,105,30,45,6,October 20th to 31th,450
2021,Kaffrine,02.74,M,control,02-74-00,2,August 30th toseptember 4th,47,30,45,7,October 20th to 31th,450
2021,Kaffrine,02.74,M,control,02-74-00,3,September 28th to october 5th,32,32,60,0,October 20th to 31th,450
2021,Kaffrine,02.74,M,fertilized,02-74-01,1,July 27th to august 3th,71,30,45,6,October 20th to 31th,810
2021,Kaffrine,02.74,M,fertilized,02-74-01,2,August 30th toseptember 4th,31,30,45,0,October 20th to 31th,810
2021,Kaffrine,02.74,M,fertilized,02-74-01,3,September 28th to october 5th,6,32,60,0,October 20th to 31th,810
2021,Kaffrine,02.75,M,control,02-75-00.,1,July 27th to august 3th,121,34,90,18,October 20th to 31th,850
2021,Kaffrine,02.75,M,control,02-75-00.,2,August 30th toseptember 4th,12,31,95,0,October 20th to 31th,850
2021,Kaffrine,02.75,M,control,02-75-00.,3,September 28th to october 5th,20,33,80,0,October 20th to 31th,850
2021,Kaffrine,02.75,M,fertilized,02-75-01.,1,July 27th to august 3th,134,34,80,7,October 20th to 31th,1800
2021,Kaffrine,02.75,M,fertilized,02-75-01.,2,August 30th toseptember 4th,14,31,90,0,October 20th to 31th,1800
2021,Kaffrine,02.75,M,fertilized,02-75-01.,3,September 28th to october 5th,8,33,70,0,October 20th to 31th,1800
2021,Kaffrine,02.76,M,control,02-76-00.,1,July 27th to august 3th,78,35,45,5,October 20th to 31th,245
2021,Kaffrine,02.76,M,control,02-76-00.,2,August 30th toseptember 4th,30,31,60,0,October 20th to 31th,245
